INSTANCE;SEMILLA;Z;TIME
A173-P130-R6-B9-L4-T14-C0.3;9845;61;5
A173-P130-R6-B9-L4-T14-C0.3;233;61;5
A173-P130-R6-B9-L4-T14-C0.3;4263;61;5
A173-P130-R6-B9-L4-T14-C0.3;2618;61;5
A173-P130-R6-B9-L4-T14-C0.3;9965;61;5
A173-P130-R6-B9-L4-T14-C0.3;1624;61;5
A173-P130-R6-B9-L4-T14-C0.3;5707;61;6
A173-P130-R6-B9-L4-T14-C0.3;2842;61;6
A173-P130-R6-B9-L4-T14-C0.3;130;61;7
A173-P130-R6-B9-L4-T14-C0.3;252;61;5
A173-P130-R6-B9-L4-T14-C0.3;9914;61;5
A173-P130-R6-B9-L4-T14-C0.3;8323;61;7
A173-P130-R6-B9-L4-T14-C0.3;9375;61;5
A173-P130-R6-B9-L4-T14-C0.3;4363;61;5
A173-P130-R6-B9-L4-T14-C0.3;2499;61;5
A173-P130-R6-B9-L4-T14-C0.3;2877;61;7
A173-P130-R6-B9-L4-T14-C0.3;5989;62;7
A173-P130-R6-B9-L4-T14-C0.3;1850;62;5
A173-P130-R6-B9-L4-T14-C0.3;5917;61;7
A173-P130-R6-B9-L4-T14-C0.3;7847;61;5
A173-P130-R7-B6-L5-T14-C0.1;8355;24;8
A173-P130-R7-B6-L5-T14-C0.1;3717;24;7
A173-P130-R7-B6-L5-T14-C0.1;5877;24;8
A173-P130-R7-B6-L5-T14-C0.1;2829;24;8
A173-P130-R7-B6-L5-T14-C0.1;2339;24;9
A173-P130-R7-B6-L5-T14-C0.1;9845;24;10
A173-P130-R7-B6-L5-T14-C0.1;233;24;8
A173-P130-R7-B6-L5-T14-C0.1;4263;24;11
A173-P130-R7-B6-L5-T14-C0.1;2618;24;8
A173-P130-R7-B6-L5-T14-C0.1;9965;24;7
A173-P130-R7-B6-L5-T14-C0.1;1624;24;9
A173-P130-R7-B6-L5-T14-C0.1;5707;24;9
A173-P130-R7-B6-L5-T14-C0.1;2842;24;8
A173-P130-R7-B6-L5-T14-C0.1;130;24;9
A173-P130-R7-B6-L5-T14-C0.1;252;24;8
A173-P130-R7-B6-L5-T14-C0.1;9914;24;8
A173-P130-R7-B6-L5-T14-C0.1;8323;24;10
A173-P130-R7-B6-L5-T14-C0.1;9375;24;9
A173-P130-R7-B6-L5-T14-C0.1;4363;24;7
A173-P130-R7-B6-L5-T14-C0.1;2499;24;9
A173-P130-R7-B6-L5-T14-C0.1;2877;24;8
A173-P130-R7-B6-L5-T14-C0.1;5989;24;8
A173-P130-R7-B6-L5-T14-C0.1;1850;24;9
A173-P130-R7-B6-L5-T14-C0.1;5917;24;8
A173-P130-R7-B6-L5-T14-C0.1;7847;24;9
A173-P130-R7-B6-L5-T14-C0.2;8355;31;8
A173-P130-R7-B6-L5-T14-C0.2;3717;31;7
A173-P130-R7-B6-L5-T14-C0.2;5877;31;7
A173-P130-R7-B6-L5-T14-C0.2;2829;31;10
A173-P130-R7-B6-L5-T14-C0.2;2339;30;8
A173-P130-R7-B6-L5-T14-C0.2;9845;30;9
A173-P130-R7-B6-L5-T14-C0.2;233;30;9
A173-P130-R7-B6-L5-T14-C0.2;4263;30;9
A173-P130-R7-B6-L5-T14-C0.2;2618;30;9
A173-P130-R7-B6-L5-T14-C0.2;9965;30;10
A173-P130-R7-B6-L5-T14-C0.2;1624;30;8
A173-P130-R7-B6-L5-T14-C0.2;5707;31;7
A173-P130-R7-B6-L5-T14-C0.2;2842;30;10
A173-P130-R7-B6-L5-T14-C0.2;130;31;10
A173-P130-R7-B6-L5-T14-C0.2;252;31;9
A173-P130-R7-B6-L5-T14-C0.2;9914;31;8
A173-P130-R7-B6-L5-T14-C0.2;8323;31;9
A173-P130-R7-B6-L5-T14-C0.2;9375;31;9
A173-P130-R7-B6-L5-T14-C0.2;4363;31;8
A173-P130-R7-B6-L5-T14-C0.2;2499;30;8
A173-P130-R7-B6-L5-T14-C0.2;2877;30;8
A173-P130-R7-B6-L5-T14-C0.2;5989;31;7
A173-P130-R7-B6-L5-T14-C0.2;1850;31;7
A173-P130-R7-B6-L5-T14-C0.2;5917;30;9
A173-P130-R7-B6-L5-T14-C0.2;7847;31;9
A173-P130-R7-B6-L5-T14-C0.3;8355;5013;9
A173-P130-R7-B6-L5-T14-C0.3;3717;5013;9
A173-P130-R7-B6-L5-T14-C0.3;5877;5014;8
A173-P130-R7-B6-L5-T14-C0.3;2829;5014;8
A173-P130-R7-B6-L5-T14-C0.3;2339;5013;7
A173-P130-R7-B6-L5-T14-C0.3;9845;5014;7
A173-P130-R7-B6-L5-T14-C0.3;233;10013;9
A173-P130-R7-B6-L5-T14-C0.3;4263;5013;8
A173-P130-R7-B6-L5-T14-C0.3;2618;5012;8
A173-P130-R7-B6-L5-T14-C0.3;9965;5012;8
A173-P130-R7-B6-L5-T14-C0.3;1624;5013;8
A173-P130-R7-B6-L5-T14-C0.3;5707;5013;9
A173-P130-R7-B6-L5-T14-C0.3;2842;5013;8
A173-P130-R7-B6-L5-T14-C0.3;130;5013;10
A173-P130-R7-B6-L5-T14-C0.3;252;5013;9
A173-P130-R7-B6-L5-T14-C0.3;9914;5014;9
A173-P130-R7-B6-L5-T14-C0.3;8323;5013;8
A173-P130-R7-B6-L5-T14-C0.3;9375;5013;8
A173-P130-R7-B6-L5-T14-C0.3;4363;5013;8
A173-P130-R7-B6-L5-T14-C0.3;2499;5013;11
A173-P130-R7-B6-L5-T14-C0.3;2877;5013;8
A173-P130-R7-B6-L5-T14-C0.3;5989;5014;9
A173-P130-R7-B6-L5-T14-C0.3;1850;5013;8
A173-P130-R7-B6-L5-T14-C0.3;5917;5014;9
A173-P130-R7-B6-L5-T14-C0.3;7847;5014;8
A173-P130-R9-B6-L4-T14-C0.1;8355;65;12
A173-P130-R9-B6-L4-T14-C0.1;3717;65;12
A173-P130-R9-B6-L4-T14-C0.1;5877;65;11
A173-P130-R9-B6-L4-T14-C0.1;2829;65;15
A173-P130-R9-B6-L4-T14-C0.1;2339;65;12
A173-P130-R9-B6-L4-T14-C0.1;9845;65;11
A173-P130-R9-B6-L4-T14-C0.1;233;65;11
A173-P130-R9-B6-L4-T14-C0.1;4263;65;11
A173-P130-R9-B6-L4-T14-C0.1;2618;65;11
A173-P130-R9-B6-L4-T14-C0.1;9965;65;12
A173-P130-R9-B6-L4-T14-C0.1;1624;65;11
A173-P130-R9-B6-L4-T14-C0.1;5707;65;13
A173-P130-R9-B6-L4-T14-C0.1;2842;65;12
A173-P130-R9-B6-L4-T14-C0.1;130;65;13
A173-P130-R9-B6-L4-T14-C0.1;252;65;12
A173-P130-R9-B6-L4-T14-C0.1;9914;65;12
A173-P130-R9-B6-L4-T14-C0.1;8323;65;11
A173-P130-R9-B6-L4-T14-C0.1;9375;65;12
A173-P130-R9-B6-L4-T14-C0.1;4363;65;14
A173-P130-R9-B6-L4-T14-C0.1;2499;65;12
A173-P130-R9-B6-L4-T14-C0.1;2877;65;11
A173-P130-R9-B6-L4-T14-C0.1;5989;65;13
A173-P130-R9-B6-L4-T14-C0.1;1850;65;12
A173-P130-R9-B6-L4-T14-C0.1;5917;65;12
A173-P130-R9-B6-L4-T14-C0.1;7847;65;13
A173-P130-R9-B6-L4-T14-C0.2;8355;8024;13
A173-P130-R9-B6-L4-T14-C0.2;3717;8024;13
A173-P130-R9-B6-L4-T14-C0.2;5877;8024;13
A173-P130-R9-B6-L4-T14-C0.2;2829;8024;12
A173-P130-R9-B6-L4-T14-C0.2;2339;8024;11
A173-P130-R9-B6-L4-T14-C0.2;9845;8024;12
A173-P130-R9-B6-L4-T14-C0.2;233;8024;12
A173-P130-R9-B6-L4-T14-C0.2;4263;8024;11
A173-P130-R9-B6-L4-T14-C0.2;2618;8024;11
A173-P130-R9-B6-L4-T14-C0.2;9965;8024;12
A173-P130-R9-B6-L4-T14-C0.2;1624;8024;11
A173-P130-R9-B6-L4-T14-C0.2;5707;8025;14
A173-P130-R9-B6-L4-T14-C0.2;2842;8024;11
A173-P130-R9-B6-L4-T14-C0.2;130;8024;12
A173-P130-R9-B6-L4-T14-C0.2;252;8024;11
A173-P130-R9-B6-L4-T14-C0.2;9914;8024;11
A173-P130-R9-B6-L4-T14-C0.2;8323;8024;12
A173-P130-R9-B6-L4-T14-C0.2;9375;8024;10
A173-P130-R9-B6-L4-T14-C0.2;4363;8024;12
A173-P130-R9-B6-L4-T14-C0.2;2499;8024;12
A173-P130-R9-B6-L4-T14-C0.2;2877;8024;12
A173-P130-R9-B6-L4-T14-C0.2;5989;8024;12
A173-P130-R9-B6-L4-T14-C0.2;1850;8024;12
A173-P130-R9-B6-L4-T14-C0.2;5917;8024;12
A173-P130-R9-B6-L4-T14-C0.2;7847;8024;12
A173-P130-R9-B6-L4-T14-C0.3;8355;10;11
A173-P130-R9-B6-L4-T14-C0.3;3717;4010;11
A173-P130-R9-B6-L4-T14-C0.3;5877;11;11
A173-P130-R9-B6-L4-T14-C0.3;2829;11;16
A173-P130-R9-B6-L4-T14-C0.3;2339;11;16
A173-P130-R9-B6-L4-T14-C0.3;9845;11;11
A173-P130-R9-B6-L4-T14-C0.3;233;10;12
A173-P130-R9-B6-L4-T14-C0.3;4263;10;12
A173-P130-R9-B6-L4-T14-C0.3;2618;11;12
A173-P130-R9-B6-L4-T14-C0.3;9965;11;14
A173-P130-R9-B6-L4-T14-C0.3;1624;11;16
A173-P130-R9-B6-L4-T14-C0.3;5707;11;11
A173-P130-R9-B6-L4-T14-C0.3;2842;4011;14
A173-P130-R9-B6-L4-T14-C0.3;130;10;14
A173-P130-R9-B6-L4-T14-C0.3;252;10;12
A173-P130-R9-B6-L4-T14-C0.3;9914;11;12
A173-P130-R9-B6-L4-T14-C0.3;8323;12;11
A173-P130-R9-B6-L4-T14-C0.3;9375;11;12
A173-P130-R9-B6-L4-T14-C0.3;4363;4011;11
A173-P130-R9-B6-L4-T14-C0.3;2499;11;13
A173-P130-R9-B6-L4-T14-C0.3;2877;4010;14
A173-P130-R9-B6-L4-T14-C0.3;5989;10;12
A173-P130-R9-B6-L4-T14-C0.3;1850;11;11
A173-P130-R9-B6-L4-T14-C0.3;5917;11;12
A173-P130-R9-B6-L4-T14-C0.3;7847;4011;12
A173-P150-R5-B8-L5-T14-C0.1;8355;17;5
A173-P150-R5-B8-L5-T14-C0.1;3717;17;4
A173-P150-R5-B8-L5-T14-C0.1;5877;17;5
A173-P150-R5-B8-L5-T14-C0.1;2829;17;4
A173-P150-R5-B8-L5-T14-C0.1;2339;17;5
A173-P150-R5-B8-L5-T14-C0.1;9845;17;4
A173-P150-R5-B8-L5-T14-C0.1;233;17;4
A173-P150-R5-B8-L5-T14-C0.1;4263;17;4
A173-P150-R5-B8-L5-T14-C0.1;2618;17;4
A173-P150-R5-B8-L5-T14-C0.1;9965;17;6
A173-P150-R5-B8-L5-T14-C0.1;1624;17;5
A173-P150-R5-B8-L5-T14-C0.1;5707;17;6
A173-P150-R5-B8-L5-T14-C0.1;2842;17;5
A173-P150-R5-B8-L5-T14-C0.1;130;17;4
A173-P150-R5-B8-L5-T14-C0.1;252;17;5
A173-P150-R5-B8-L5-T14-C0.1;9914;17;5
A173-P150-R5-B8-L5-T14-C0.1;8323;17;6
A173-P150-R5-B8-L5-T14-C0.1;9375;17;4
A173-P150-R5-B8-L5-T14-C0.1;4363;17;5
A173-P150-R5-B8-L5-T14-C0.1;2499;17;4
A173-P150-R5-B8-L5-T14-C0.1;2877;17;5
A173-P150-R5-B8-L5-T14-C0.1;5989;17;4
A173-P150-R5-B8-L5-T14-C0.1;1850;17;4
A173-P150-R5-B8-L5-T14-C0.1;5917;17;4
A173-P150-R5-B8-L5-T14-C0.1;7847;17;4
A173-P150-R5-B8-L5-T14-C0.2;8355;52;6
A173-P150-R5-B8-L5-T14-C0.2;3717;52;5
